T60G;1;117;244;1,8
T75G;1;85;244;1,8
T75G;1;85;244;1,8
T83G;1;70;244;1,8
T83G;1;70;244;1,8
T65G;1;64;244;1,8
T59G;1;60;244;1,8
T82G;1;56;244;1,8
T82G;1;56;244;1,8
T76G;1;54;244;1,8
T58G;1;53;244;1,8
T64G;1;52;244;1,8
T68G;1;48;244;1,8
T81G;1;122;85;1,8
T81G;1;122;85;1,8
T69G;1;122;64;1,8
T69G;1;122;64;1,8
T77G;1;122;54;1,8
T77G;1;122;54;1,8
T73G;1;122;48;1,8
T63G;1;117;214,5;1,8
T55G;1;102;152;1,8
T78G;1;85;138;1,8
T78G;1;85;138;1,8
T67G;1;64;178;1,8
T72G;1;64;142;1,8
T70G;1;64;126,7;1,8
T56G;1;61;154;1,8
T62G;1;60;214,5;1,8
T57G;1;57;168;1,8
T84G;1;56;86;1,8
T80G;1;54;195;1,8
T79G;1;54;138;1,8
T61G;1;53;214,5;1,8
T66G;1;52;178;1,8
T71G;1;48;174,5;1,8
T74G;1;38;187,5;1,8
T70G;1;21;64;1,8
